id_prestador,id_especialidad
50260212330763,9
50260212330755,9
15020072320825,101
15020072320825,1
15020072320825,4
50260072330707,9
53260212330767,101
52065392124482,10
52780212383631,3
50620422371271,9
50260772330718,9
50700142178677,9
52500212362225,3
53540352166298,1
53540352166298,4
50660282375046,101
51500982362188,105
52500212362229,3
51300152344368,101
50260212330800,9
53541192166299,1
53541192166299,4
50260142330821,9
50700772178670,9
50700772178672,9
52063292124457,10
10821192184163,1
10821192184163,4
50260772330764,9
50500492362238,9
52700282378689,3
50260772330772,9
50260772330733,9
10140142331284,1
10140142331284,4
51500982362235,105
52260352330819,3
50500212362215,9
50260772330792,9
52500702362226,3
50500212362233,9
50500072362209,9
50500282362219,9
51700772378698,105
51260352329290,105
51260352329289,105
51260352329293,105
51260212329297,105
51260212329298,105
50260212329186,9
50261052129207,1
50261052129207,4
50260142129229,1
50260142129229,4
50020012315856,9
53060702303264,1
53060702303264,4
53900842396826,1
53900842396826,4
50660282373502,1
50660282373502,4
10660352173046,1
10660352173046,4
50221262126367,1
50221262126367,4
10500772157032,1
10500772157032,4
10740422180025,1
10740422180025,4
10580352367005,1
10580352367005,4
10580352367004,1
10580352367004,4
12580352367039,1
12580352367039,4
10661192173060,1
10661192173060,4
10460142355040,1
10460142355040,4
53067492303512,1
53067492303512,4
50420212353466,101
10660632173056,1
10660632173056,4
10660702173047,1
10660702173047,4
50221402126123,1
50221402126123,4
10260352129015,1
10260352129015,4
50260352129227,1
50260352129227,4
10580982167009,1
10580982167009,4
10581132167023,1
10581132167023,4
10581122167032,1
10581122167032,4
10581052167020,1
10581052167020,4
53066652303266,1
53066652303266,4
10067492200216,1
10067492200216,4
10661192173022,1
10661192173022,4
10740492180012,1
10740492180012,4
10740072180021,1
10740072180021,4
50740352180232,1
50740352180232,4
10661262173026,1
10661262173026,4
10661332173038,1
10661332173038,4
13060352305241,1
13060352305241,4
10260352129037,1
10260352129037,4
10260422129029,1
10260422129029,4
10260422129022,1
10260422129022,4
50700352177156,1
50700352177156,4
10661542173034,1
10661542173034,4
10660282373033,1
10660282373033,4
50700772177099,1
50700772177099,4
50020012315560,101
52020012315753,10
51220212327354,101
50820492184909,101
10661332173028,1
10661332173028,4
10660562173062,1
10660562173062,4
10661262173068,1
10661262173068,4
10660842173069,1
10660842173069,4
10660352173070,1
10660352173070,4
10101052124016,1
10101052124016,4
10740492180017,1
10740492180017,4
10660212173031,1
10660212173031,4
10740562180022,1
10740562180022,4
52100492124336,3
50101122124070,1
50101122124070,4
53100492324342,101
53100492324342,1
53100492324342,4
53100492324341,1
53100492324341,4
10181262139004,1
10181262139004,4
10181332139031,1
10181332139031,4
10181332139024,1
10181332139024,4
13181402139081,10
13181402139081,1
13181402139081,4
10181402139053,1
10181402139053,4
53340142347213,1
53340142347213,4
51780142383115,105
10780142183004,1
10780142183004,4
10660562173067,1
10660562173067,4
10500842157025,1
10500842157025,4
51820632385404,105
10661052173045,1
10661052173045,4
50820492184527,101
51140142331586,101
50421052353254,2
50421052353254,5
53660282373571,1
53660282373571,4
10660282373076,1
10660282373076,4
10660282373077,1
10660282373077,4
10660282373079,1
10660282373079,4
10780142183017,1
10780142183017,4
10780142183022,1
10780142183022,4
10780142183009,1
10780142183009,4
52780142383168,3
50260492129213,1
50260492129213,4
10260492129012,1
10260492129012,4
14700282377057,3
14700282377057,1
14700282377057,4
10580422167034,1
10580422167034,4
10580632167022,1
10580632167022,4
10580702167030,1
10580702167030,4
10580772167011,1
10580772167011,4
10580772167021,1
10580772167021,4
10580842167016,1
10580842167016,4
10580912167013,1
10580912167013,4
50141402231540,1
50141402231540,4
50020012315927,1
50020012315927,4
10620772170026,1
10620772170026,4
51060582303881,101
52060582304040,3
50660282173137,1
50660282173137,4
53700282377394,105
10820842388663,3
10820842388663,1
10820842388663,4
50340142147124,1
50340142147124,4
10660072373019,1
10660072373019,4
10300152142040,1
10300152142040,4
51300152342525,105
10300152342087,1
10300152342087,4
51300152342547,105
51300152342553,105
51300152342562,105
51300152342565,105
51300152342572,105
50420212353552,9
50661542173110,1
50661542173110,4
10500562157027,1
10500562157027,4
10500492157028,1
10500492157028,4
10501192157034,1
10501192157034,4
10501122157035,1
10501122157035,4
51900842396675,105
10380632150022,1
10380632150022,4
10300842342001,1
10300842342001,4
13300842142128,10
10300842142035,1
10300842142035,4
10300842142036,101
10300842142036,1
10300842142036,4
14020012315463,1
14020012315463,4
53064132303228,1
53064132303228,4
50421052353308,105
14063572304645,8
14063572304645,1
14063572304645,4
13067912304647,1
13067912304647,4
10063572304652,1
10063572304652,4
10780142383000,1
10780142383000,4
10780142383001,1
10780142383001,4
52780142383148,3
52780072383149,3
14300842342139,2
14300842342139,5
14300842342139,1
14300842342139,4
10661332173064,1
10661332173064,4
15065812304494,101
50900842196468,1
50900842196468,4
10300982142060,1
10300982142060,4
10301052142041,1
10301052142041,4
50900842396453,3
10500982357002,1
10500982357002,4
10500142357052,1
10500142357052,4
10300842142059,1
10300842142059,4
53060582303546,1
53060582303546,4
10660072173053,1
10660072173053,4
10660072373013,1
10660072373013,4
10660072173054,1
10660072173054,4
10660142173021,1
10660142173021,4
13020012315480,10
52020012316029,10
52064972304732,3
10740352380028,1
10740352380028,4
50780142383103,1
50780142383103,4
10060582305269,1
10060582305269,4
51300152342581,105
53900842396825,1
53900842396825,4
10461052155029,1
10461052155029,4
10461122155036,1
10461122155036,4
10460282155012,1
10460282155012,4
